,Tweet
294,a creed for all warriors who fight in the name of jesus to protect our children at all cost we are not afraid of death we are not afraid of humiliation we are not afraid bankruptcies we only fear god
295,yeezy christian academy  jesus is so good  won’t he do it
296,i am the head of adidas  i will bring adidas and puma back together and bring me and jay back together  all pumas designs are embarrassingly trash but i will personally design puma and adidas and make everything ok
297,ha ha i got my twitter back ⛷
298,free hoover
299,free shug
300,i am the new head of adidas i will make sure all shoes have no laces as run dmc told me to do  look natural  no laces
301,i am the new head of adidas i will make all shoes have no laves as rundmc told me to do  look ma  no laces
302,a creed for all warriors who fight in the name of god to protect our children at all cost we are not afraid of death we are not afraid of humiliation we are not afraid bankruptcies we only fear god
303,universal sold ten cent a chinese co  per cent at a  billion dollar valuation principal is vincent bollerre universal own a chunk of spotify that was given to them for agreeing to license artists masters flowed through nothing to artists
304,northy i am going to war and putting my life on the line and if i am murdered don’t ever let white media tell you i wasnt a good man when people threaten to take you out of my life just know i love you
305,good morning music world  these are  of the most powerful and knowledgeable people in music  all negotiations will be transparent artist will own own own masters
306,we will change the paradigm
307,don’t let the system pit us against each other  jay is my brother  i have eternal love for all artist that have been through and are still trapped this crooked system jay still doesn’t get his own masters back for ten years i will see to it that we all get our masters
308,artist are founders
309,diamonds up
310,we’ve never seen anything like this before  look how all the artist stood up praise god my brothers its time for freedom keep praying
311,first tweet back  without the phone number 🤣
312,of the record contracts on the planet are still on a royalty a standard record deal is a trap to never have you recoup and there’s all these hidden costs like the “distribution fees” many labels put in their contracts to make even more money off our work without even tryin
313,only museum quality boys
314,hi guys  trust me we will not stop  hitboy first to stand up  i didn’t have a problem with him producing for beyoncé  i had a problem with the fact he was signed to me and i didn’t know but i knew jay and beyoncé and hitboy  just for clarity
315,hi guys  trust me we will not stop  hitboy first to stand up  i didn’t have a problem with him producing for beyoncé  i had a problem with the facf he was signed to me and i didn’t know but i knew jay and beyoncé and hitboy  just for clarity
316,from hitboy lets gooooo
317,in the spirit of my god father irving and his best friend rob
318,trust me i wont stop until all is fair trust me from nat ye aka baby putin
319,if any of my fans want to call a white supremacist  this is the editor of forbes
320,trust me  i wont stop
321,bono can i get a retweet love you paul can i get a retweet love you drake kendrick even taylor we need you right noooooow ⛷
322,all the musicians will be free
323,i wonder if universal gonna call me  i promise i have more ideas  i will not stop i promise you on god
324,this is the glory   ye
325,ok all music coming nex
326,whew 😅 that was a lot guys 🤣
327,you guys it took me so long to screen grab all my contracts here they a
328,uh oooooh 👀
329,this is what me kanye west deal looks like today  i pray in the name of jesus that it dont look like this tomorrow
